ciudad_origen,ciudad_destino,hora_salida,hora_llegada,duracion_viaje,precio,tipo
Lebrija,Las Cabezas de San Juan,2024-12-09 07:39:00,2024-12-09 07:50:00,11.0,7.32,tren
Las Cabezas de San Juan,Utrera,2024-12-09 07:51:00,2024-12-09 08:05:00,14.0,8.02,tren
Utrera,Dos Hermanas,2024-12-09 08:06:00,2024-12-09 08:15:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-12-09 08:16:00,2024-12-09 08:25:00,9.0,6.86,tren
Sevilla,Lora del Río,2024-12-09 08:41:00,2024-12-09 09:14:00,33.0,12.43,tren
Lora del Río,Peñaflor,2024-12-09 09:15:00,2024-12-09 09:29:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-12-09 09:30:00,2024-12-09 09:35:00,5.0,5.93,tren
Palma del Río,Posadas,2024-12-09 09:36:00,2024-12-09 09:56:00,20.0,9.41,tren
Posadas,Córdoba,2024-12-09 09:57:00,2024-12-09 10:21:00,24.0,10.34,tren
Córdoba,Villa del Río,2024-12-09 10:24:00,2024-12-09 11:06:00,42.0,14.51,tren
Villa del Río,Andújar,2024-12-09 11:07:00,2024-12-09 11:28:00,21.0,9.64,tren
Andújar,Espeluy,2024-12-09 11:29:00,2024-12-09 11:43:00,14.0,8.02,tren
Espeluy,Jaén,2024-12-09 11:44:00,2024-12-09 12:08:00,24.0,10.34,tren
Córdoba,Villa del Río,2024-12-10 10:24:00,2024-12-10 11:06:00,42.0,14.51,tren
Villa del Río,Andújar,2024-12-10 11:07:00,2024-12-10 11:28:00,21.0,9.64,tren
Andújar,Espeluy,2024-12-10 11:29:00,2024-12-10 11:43:00,14.0,8.02,tren
Espeluy,Jaén,2024-12-10 11:44:00,2024-12-10 12:08:00,24.0,10.34,tren
Córdoba,Villa del Río,2024-10-28 10:24:00,2024-10-28 11:06:00,42.0,14.51,tren
Villa del Río,Andújar,2024-10-28 11:07:00,2024-10-28 11:34:00,27.0,11.03,tren
Andújar,Espeluy,2024-10-28 11:35:00,2024-10-28 11:49:00,14.0,8.02,tren
Espeluy,Jaén,2024-10-28 11:50:00,2024-10-28 12:14:00,24.0,10.34,tren
Cádiz,San Fernando,2024-10-28 08:40:00,2024-10-28 08:50:00,10.0,7.09,tren
San Fernando,El Puerto de Santa María,2024-10-28 08:51:00,2024-10-28 09:04:00,13.0,7.78,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 09:05:00,2024-10-28 09:13:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 09:14:00,2024-10-28 09:29:00,15.0,8.25,tren
Lebrija,Dos Hermanas,2024-10-28 09:30:00,2024-10-28 10:04:00,34.0,12.66,tren
Dos Hermanas,Sevilla,2024-10-28 10:05:00,2024-10-28 10:17:00,12.0,7.55,tren
Cádiz,San Fernando,2024-10-28 09:40:00,2024-10-28 09:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-10-28 09:51:00,2024-10-28 09:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-10-28 09:59:00,2024-10-28 10:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 10:06:00,2024-10-28 10:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 10:23:00,2024-10-28 10:33:00,10.0,7.09,tren
Lebrija,Dos Hermanas,2024-10-28 10:34:00,2024-10-28 11:06:00,32.0,12.19,tren
Dos Hermanas,Sevilla,2024-10-28 11:07:00,2024-10-28 11:17:00,10.0,7.09,tren
Cádiz,San Fernando,2024-11-02 09:40:00,2024-11-02 09:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-11-02 09:51:00,2024-11-02 09:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-11-02 09:59:00,2024-11-02 10:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-11-02 10:06:00,2024-11-02 10:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-11-02 10:23:00,2024-11-02 10:33:00,10.0,7.09,tren
Lebrija,Dos Hermanas,2024-11-02 10:34:00,2024-11-02 11:06:00,32.0,12.19,tren
Dos Hermanas,Sevilla,2024-11-02 11:07:00,2024-11-02 11:17:00,10.0,7.09,tren
Cádiz,San Fernando,2024-12-10 09:40:00,2024-12-10 09:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-12-10 09:51:00,2024-12-10 09:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-12-10 09:59:00,2024-12-10 10:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-12-10 10:06:00,2024-12-10 10:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-12-10 10:23:00,2024-12-10 10:33:00,10.0,7.09,tren
Lebrija,Dos Hermanas,2024-12-10 10:34:00,2024-12-10 11:06:00,32.0,12.19,tren
Dos Hermanas,Sevilla,2024-12-10 11:07:00,2024-12-10 11:17:00,10.0,7.09,tren
Sevilla,Dos Hermanas,2024-10-28 12:48:00,2024-10-28 12:57:00,9.0,6.86,tren
Dos Hermanas,Utrera,2024-10-28 12:58:00,2024-10-28 13:07:00,9.0,6.86,tren
Utrera,Las Cabezas de San Juan,2024-10-28 13:08:00,2024-10-28 13:21:00,13.0,7.78,tren
Las Cabezas de San Juan,Lebrija,2024-10-28 13:22:00,2024-10-28 13:33:00,11.0,7.32,tren
Lebrija,Jerez de la Frontera,2024-10-28 13:34:00,2024-10-28 13:44:00,10.0,7.09,tren
Jerez de la Frontera,El Puerto de Santa María,2024-10-28 13:53:00,2024-10-28 14:01:00,8.0,6.62,tren
El Puerto de Santa María,Puerto Real,2024-10-28 14:02:00,2024-10-28 14:09:00,7.0,6.39,tren
Puerto Real,San Fernando,2024-10-28 14:10:00,2024-10-28 14:17:00,7.0,6.39,tren
San Fernando,Cádiz,2024-10-28 14:18:00,2024-10-28 14:30:00,12.0,7.55,tren
Sevilla,Dos Hermanas,2024-11-02 12:48:00,2024-11-02 12:57:00,9.0,6.86,tren
Dos Hermanas,Utrera,2024-11-02 12:58:00,2024-11-02 13:07:00,9.0,6.86,tren
Utrera,Las Cabezas de San Juan,2024-11-02 13:08:00,2024-11-02 13:21:00,13.0,7.78,tren
Las Cabezas de San Juan,Lebrija,2024-11-02 13:22:00,2024-11-02 13:33:00,11.0,7.32,tren
Lebrija,Jerez de la Frontera,2024-11-02 13:34:00,2024-11-02 13:44:00,10.0,7.09,tren
Jerez de la Frontera,El Puerto de Santa María,2024-11-02 13:53:00,2024-11-02 14:01:00,8.0,6.62,tren
El Puerto de Santa María,Puerto Real,2024-11-02 14:02:00,2024-11-02 14:09:00,7.0,6.39,tren
Puerto Real,San Fernando,2024-11-02 14:10:00,2024-11-02 14:17:00,7.0,6.39,tren
San Fernando,Cádiz,2024-11-02 14:18:00,2024-11-02 14:30:00,12.0,7.55,tren
Sevilla,Dos Hermanas,2024-12-10 12:48:00,2024-12-10 12:57:00,9.0,6.86,tren
Dos Hermanas,Utrera,2024-12-10 12:58:00,2024-12-10 13:07:00,9.0,6.86,tren
Utrera,Las Cabezas de San Juan,2024-12-10 13:08:00,2024-12-10 13:21:00,13.0,7.78,tren
Las Cabezas de San Juan,Lebrija,2024-12-10 13:22:00,2024-12-10 13:33:00,11.0,7.32,tren
Lebrija,Jerez de la Frontera,2024-12-10 13:34:00,2024-12-10 13:44:00,10.0,7.09,tren
Jerez de la Frontera,El Puerto de Santa María,2024-12-10 13:53:00,2024-12-10 14:01:00,8.0,6.62,tren
El Puerto de Santa María,Puerto Real,2024-12-10 14:02:00,2024-12-10 14:09:00,7.0,6.39,tren
Puerto Real,San Fernando,2024-12-10 14:10:00,2024-12-10 14:17:00,7.0,6.39,tren
San Fernando,Cádiz,2024-12-10 14:18:00,2024-12-10 14:30:00,12.0,7.55,tren
Cádiz,San Fernando,2024-10-28 10:50:00,2024-10-28 11:00:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-10-28 11:01:00,2024-10-28 11:08:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-10-28 11:09:00,2024-10-28 11:15:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 11:16:00,2024-10-28 11:24:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 11:33:00,2024-10-28 11:43:00,10.0,7.09,tren
Lebrija,Utrera,2024-10-28 11:44:00,2024-10-28 12:07:00,23.0,10.11,tren
Utrera,Dos Hermanas,2024-10-28 12:08:00,2024-10-28 12:18:00,10.0,7.09,tren
Dos Hermanas,Sevilla,2024-10-28 12:19:00,2024-10-28 12:32:00,13.0,7.78,tren
Sevilla,Lora del Río,2024-10-28 12:45:00,2024-10-28 13:18:00,33.0,12.43,tren
Lora del Río,Peñaflor,2024-10-28 13:19:00,2024-10-28 13:33:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-10-28 13:34:00,2024-10-28 13:39:00,5.0,5.93,tren
Palma del Río,Posadas,2024-10-28 13:40:00,2024-10-28 13:55:00,15.0,8.25,tren
Posadas,Córdoba,2024-10-28 13:56:00,2024-10-28 14:21:00,25.0,10.57,tren
Córdoba,Villa del Río,2024-10-28 14:23:00,2024-10-28 15:06:00,43.0,14.75,tren
Villa del Río,Andújar,2024-10-28 15:07:00,2024-10-28 15:31:00,24.0,10.34,tren
Andújar,Espeluy,2024-10-28 15:32:00,2024-10-28 15:46:00,14.0,8.02,tren
Espeluy,Jaén,2024-10-28 15:47:00,2024-10-28 16:12:00,25.0,10.57,tren
Sevilla,Dos Hermanas,2024-10-28 14:51:00,2024-10-28 14:59:00,8.0,6.62,tren
Dos Hermanas,Lebrija,2024-10-28 15:00:00,2024-10-28 15:29:00,29.0,11.5,tren
Lebrija,Jerez de la Frontera,2024-10-28 15:30:00,2024-10-28 15:39:00,9.0,6.86,tren
Jerez de la Frontera,El Puerto de Santa María,2024-10-28 15:48:00,2024-10-28 15:57:00,9.0,6.86,tren
El Puerto de Santa María,Puerto Real,2024-10-28 15:58:00,2024-10-28 16:05:00,7.0,6.39,tren
Puerto Real,San Fernando,2024-10-28 16:06:00,2024-10-28 16:14:00,8.0,6.62,tren
San Fernando,Cádiz,2024-10-28 16:15:00,2024-10-28 16:27:00,12.0,7.55,tren
Cádiz,San Fernando,2024-10-28 12:40:00,2024-10-28 12:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-10-28 12:51:00,2024-10-28 12:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-10-28 12:59:00,2024-10-28 13:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 13:06:00,2024-10-28 13:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 13:15:00,2024-10-28 13:30:00,15.0,8.25,tren
Lebrija,Utrera,2024-10-28 13:31:00,2024-10-28 13:55:00,24.0,10.34,tren
Utrera,Dos Hermanas,2024-10-28 13:56:00,2024-10-28 14:05:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-10-28 14:06:00,2024-10-28 14:14:00,8.0,6.62,tren
Sevilla,Lora del Río,2024-10-28 14:30:00,2024-10-28 15:04:00,34.0,12.66,tren
Lora del Río,Peñaflor,2024-10-28 15:04:00,2024-10-28 15:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-10-28 15:19:00,2024-10-28 15:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-10-28 15:25:00,2024-10-28 15:39:00,14.0,8.02,tren
Posadas,Córdoba,2024-10-28 15:40:00,2024-10-28 16:01:00,21.0,9.64,tren
Córdoba,Villa del Río,2024-10-28 16:04:00,2024-10-28 16:52:00,48.0,15.91,tren
Villa del Río,Andújar,2024-10-28 16:53:00,2024-10-28 17:15:00,22.0,9.87,tren
Andújar,Espeluy,2024-10-28 17:16:00,2024-10-28 17:44:00,28.0,11.27,tren
Espeluy,Jaén,2024-10-28 17:45:00,2024-10-28 18:10:00,25.0,10.57,tren
Cádiz,San Fernando,2024-11-04 12:40:00,2024-11-04 12:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-11-04 12:51:00,2024-11-04 12:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-11-04 12:59:00,2024-11-04 13:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-11-04 13:06:00,2024-11-04 13:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-11-04 13:15:00,2024-11-04 13:30:00,15.0,8.25,tren
Lebrija,Utrera,2024-11-04 13:31:00,2024-11-04 13:55:00,24.0,10.34,tren
Utrera,Dos Hermanas,2024-11-04 13:56:00,2024-11-04 14:05:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-11-04 14:06:00,2024-11-04 14:14:00,8.0,6.62,tren
Sevilla,Lora del Río,2024-11-04 14:30:00,2024-11-04 15:04:00,34.0,12.66,tren
Lora del Río,Peñaflor,2024-11-04 15:04:00,2024-11-04 15:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-11-04 15:19:00,2024-11-04 15:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-11-04 15:25:00,2024-11-04 15:39:00,14.0,8.02,tren
Posadas,Córdoba,2024-11-04 15:40:00,2024-11-04 16:01:00,21.0,9.64,tren
Córdoba,Villa del Río,2024-11-04 16:04:00,2024-11-04 16:52:00,48.0,15.91,tren
Villa del Río,Andújar,2024-11-04 16:53:00,2024-11-04 17:15:00,22.0,9.87,tren
Andújar,Espeluy,2024-11-04 17:16:00,2024-11-04 17:44:00,28.0,11.27,tren
Espeluy,Jaén,2024-11-04 17:45:00,2024-11-04 18:10:00,25.0,10.57,tren
Cádiz,San Fernando,2024-12-10 12:40:00,2024-12-10 12:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-12-10 12:51:00,2024-12-10 12:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-12-10 12:59:00,2024-12-10 13:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-12-10 13:06:00,2024-12-10 13:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-12-10 13:15:00,2024-12-10 13:30:00,15.0,8.25,tren
Lebrija,Utrera,2024-12-10 13:31:00,2024-12-10 13:55:00,24.0,10.34,tren
Utrera,Dos Hermanas,2024-12-10 13:56:00,2024-12-10 14:05:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-12-10 14:06:00,2024-12-10 14:14:00,8.0,6.62,tren
Sevilla,Lora del Río,2024-12-10 14:30:00,2024-12-10 15:04:00,34.0,12.66,tren
Lora del Río,Peñaflor,2024-12-10 15:04:00,2024-12-10 15:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-12-10 15:19:00,2024-12-10 15:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-12-10 15:25:00,2024-12-10 15:39:00,14.0,8.02,tren
Posadas,Córdoba,2024-12-10 15:40:00,2024-12-10 16:01:00,21.0,9.64,tren
Córdoba,Villa del Río,2024-12-10 16:04:00,2024-12-10 16:52:00,48.0,15.91,tren
Villa del Río,Andújar,2024-12-10 16:53:00,2024-12-10 17:15:00,22.0,9.87,tren
Andújar,Espeluy,2024-12-10 17:16:00,2024-12-10 17:44:00,28.0,11.27,tren
Espeluy,Jaén,2024-12-10 17:45:00,2024-12-10 18:10:00,25.0,10.57,tren
Sevilla,Lora del Río,2024-12-06 14:30:00,2024-12-06 15:04:00,34.0,12.66,tren
Lora del Río,Peñaflor,2024-12-06 15:04:00,2024-12-06 15:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-12-06 15:19:00,2024-12-06 15:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-12-06 15:25:00,2024-12-06 15:39:00,14.0,8.02,tren
Posadas,Córdoba,2024-12-06 15:40:00,2024-12-06 16:01:00,21.0,9.64,tren
Córdoba,Villa del Río,2024-12-06 16:04:00,2024-12-06 16:52:00,48.0,15.91,tren
Villa del Río,Andújar,2024-12-06 16:53:00,2024-12-06 17:15:00,22.0,9.87,tren
Andújar,Espeluy,2024-12-06 17:16:00,2024-12-06 17:44:00,28.0,11.27,tren
Espeluy,Jaén,2024-12-06 17:45:00,2024-12-06 18:10:00,25.0,10.57,tren
Sevilla,Lora del Río,2024-12-07 14:30:00,2024-12-07 15:04:00,34.0,12.66,tren
Lora del Río,Peñaflor,2024-12-07 15:04:00,2024-12-07 15:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-12-07 15:19:00,2024-12-07 15:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-12-07 15:25:00,2024-12-07 15:39:00,14.0,8.02,tren
Posadas,Córdoba,2024-12-07 15:40:00,2024-12-07 16:01:00,21.0,9.64,tren
Córdoba,Villa del Río,2024-12-07 16:04:00,2024-12-07 16:52:00,48.0,15.91,tren
Villa del Río,Andújar,2024-12-07 16:53:00,2024-12-07 17:15:00,22.0,9.87,tren
Andújar,Espeluy,2024-12-07 17:16:00,2024-12-07 17:44:00,28.0,11.27,tren
Espeluy,Jaén,2024-12-07 17:45:00,2024-12-07 18:10:00,25.0,10.57,tren
Sevilla,Lora del Río,2024-12-09 14:30:00,2024-12-09 15:04:00,34.0,12.66,tren
Lora del Río,Peñaflor,2024-12-09 15:04:00,2024-12-09 15:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-12-09 15:19:00,2024-12-09 15:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-12-09 15:25:00,2024-12-09 15:39:00,14.0,8.02,tren
Posadas,Córdoba,2024-12-09 15:40:00,2024-12-09 16:01:00,21.0,9.64,tren
Córdoba,Villa del Río,2024-12-09 16:04:00,2024-12-09 16:52:00,48.0,15.91,tren
Villa del Río,Andújar,2024-12-09 16:53:00,2024-12-09 17:15:00,22.0,9.87,tren
Andújar,Espeluy,2024-12-09 17:16:00,2024-12-09 17:44:00,28.0,11.27,tren
Espeluy,Jaén,2024-12-09 17:45:00,2024-12-09 18:10:00,25.0,10.57,tren
Cádiz,San Fernando,2024-10-28 14:40:00,2024-10-28 14:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-10-28 14:51:00,2024-10-28 14:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-10-28 14:59:00,2024-10-28 15:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 15:06:00,2024-10-28 15:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 15:23:00,2024-10-28 15:33:00,10.0,7.09,tren
Lebrija,Dos Hermanas,2024-10-28 15:34:00,2024-10-28 16:05:00,31.0,11.96,tren
Dos Hermanas,Sevilla,2024-10-28 16:06:00,2024-10-28 16:16:00,10.0,7.09,tren
Cádiz,San Fernando,2024-11-02 14:40:00,2024-11-02 14:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-11-02 14:51:00,2024-11-02 14:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-11-02 14:59:00,2024-11-02 15:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-11-02 15:06:00,2024-11-02 15:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-11-02 15:23:00,2024-11-02 15:33:00,10.0,7.09,tren
Lebrija,Dos Hermanas,2024-11-02 15:34:00,2024-11-02 16:05:00,31.0,11.96,tren
Dos Hermanas,Sevilla,2024-11-02 16:06:00,2024-11-02 16:16:00,10.0,7.09,tren
Cádiz,San Fernando,2024-12-10 14:40:00,2024-12-10 14:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-12-10 14:51:00,2024-12-10 14:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-12-10 14:59:00,2024-12-10 15:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-12-10 15:06:00,2024-12-10 15:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-12-10 15:23:00,2024-12-10 15:33:00,10.0,7.09,tren
Lebrija,Dos Hermanas,2024-12-10 15:34:00,2024-12-10 16:05:00,31.0,11.96,tren
Dos Hermanas,Sevilla,2024-12-10 16:06:00,2024-12-10 16:16:00,10.0,7.09,tren
Sevilla,Dos Hermanas,2024-10-28 16:48:00,2024-10-28 16:57:00,9.0,6.86,tren
Dos Hermanas,Lebrija,2024-10-28 16:58:00,2024-10-28 17:29:00,31.0,11.96,tren
Lebrija,Jerez de la Frontera,2024-10-28 17:30:00,2024-10-28 17:40:00,10.0,7.09,tren
Jerez de la Frontera,El Puerto de Santa María,2024-10-28 17:49:00,2024-10-28 17:57:00,8.0,6.62,tren
El Puerto de Santa María,San Fernando,2024-10-28 17:58:00,2024-10-28 18:12:00,14.0,8.02,tren
San Fernando,Cádiz,2024-10-28 18:13:00,2024-10-28 18:25:00,12.0,7.55,tren
Cádiz,San Fernando,2024-10-28 15:40:00,2024-10-28 15:50:00,10.0,7.09,tren
San Fernando,Puerto Real,2024-10-28 15:51:00,2024-10-28 15:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-10-28 15:59:00,2024-10-28 16:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 16:06:00,2024-10-28 16:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 16:23:00,2024-10-28 16:33:00,10.0,7.09,tren
Lebrija,Las Cabezas de San Juan,2024-10-28 16:34:00,2024-10-28 16:44:00,10.0,7.09,tren
Las Cabezas de San Juan,Utrera,2024-10-28 16:45:00,2024-10-28 16:59:00,14.0,8.02,tren
Utrera,Dos Hermanas,2024-10-28 17:00:00,2024-10-28 17:09:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-10-28 17:10:00,2024-10-28 17:22:00,12.0,7.55,tren
Sevilla,Lora del Río,2024-10-28 17:30:00,2024-10-28 18:03:00,33.0,12.43,tren
Lora del Río,Peñaflor,2024-10-28 18:04:00,2024-10-28 18:18:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-10-28 18:19:00,2024-10-28 18:24:00,5.0,5.93,tren
Palma del Río,Posadas,2024-10-28 18:25:00,2024-10-28 18:37:00,12.0,7.55,tren
Posadas,Córdoba,2024-10-28 18:38:00,2024-10-28 19:07:00,29.0,11.5,tren
Cádiz,San Fernando,2024-10-28 17:24:00,2024-10-28 17:34:00,10.0,7.09,tren
San Fernando,El Puerto de Santa María,2024-10-28 17:35:00,2024-10-28 17:48:00,13.0,7.78,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 17:49:00,2024-10-28 17:57:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 18:06:00,2024-10-28 18:16:00,10.0,7.09,tren
Lebrija,Utrera,2024-10-28 18:17:00,2024-10-28 18:40:00,23.0,10.11,tren
Utrera,Dos Hermanas,2024-10-28 18:41:00,2024-10-28 18:51:00,10.0,7.09,tren
Dos Hermanas,Sevilla,2024-10-28 18:52:00,2024-10-28 19:02:00,10.0,7.09,tren
Sevilla,Lora del Río,2024-10-28 19:20:00,2024-10-28 19:53:00,33.0,12.43,tren
Lora del Río,Peñaflor,2024-10-28 19:54:00,2024-10-28 20:08:00,14.0,8.02,tren
Peñaflor,Palma del Río,2024-10-28 20:09:00,2024-10-28 20:14:00,5.0,5.93,tren
Palma del Río,Posadas,2024-10-28 20:15:00,2024-10-28 20:28:00,13.0,7.78,tren
Posadas,Córdoba,2024-10-28 20:29:00,2024-10-28 20:58:00,29.0,11.5,tren
Córdoba,Villa del Río,2024-10-28 21:01:00,2024-10-28 21:43:00,42.0,14.51,tren
Villa del Río,Andújar,2024-10-28 21:44:00,2024-10-28 22:06:00,22.0,9.87,tren
Andújar,Espeluy,2024-10-28 22:07:00,2024-10-28 22:21:00,14.0,8.02,tren
Espeluy,Jaén,2024-10-28 22:22:00,2024-10-28 22:46:00,24.0,10.34,tren
Cádiz,San Fernando,2024-10-28 19:45:00,2024-10-28 19:51:00,6.0,6.16,tren
San Fernando,Puerto Real,2024-10-28 19:51:00,2024-10-28 19:58:00,7.0,6.39,tren
Puerto Real,El Puerto de Santa María,2024-10-28 19:59:00,2024-10-28 20:05:00,6.0,6.16,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 20:06:00,2024-10-28 20:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 20:15:00,2024-10-28 20:31:00,16.0,8.48,tren
Lebrija,Las Cabezas de San Juan,2024-10-28 20:32:00,2024-10-28 20:43:00,11.0,7.32,tren
Las Cabezas de San Juan,Utrera,2024-10-28 20:44:00,2024-10-28 21:01:00,17.0,8.71,tren
Utrera,Dos Hermanas,2024-10-28 21:02:00,2024-10-28 21:11:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-10-28 21:12:00,2024-10-28 21:24:00,12.0,7.55,tren
Córdoba,Posadas,2024-10-28 08:14:00,2024-10-28 08:33:00,19.0,9.18,tren
Posadas,Palma del Río,2024-10-28 08:34:00,2024-10-28 08:48:00,14.0,8.02,tren
Palma del Río,Peñaflor,2024-10-28 08:49:00,2024-10-28 08:53:00,4.0,5.7,tren
Peñaflor,Lora del Río,2024-10-28 08:54:00,2024-10-28 09:08:00,14.0,8.02,tren
Lora del Río,Sevilla,2024-10-28 09:09:00,2024-10-28 09:48:00,39.0,13.82,tren
Sevilla,Dos Hermanas,2024-10-28 10:16:00,2024-10-28 10:24:00,8.0,6.62,tren
Dos Hermanas,Utrera,2024-10-28 10:25:00,2024-10-28 10:35:00,10.0,7.09,tren
Utrera,Lebrija,2024-10-28 10:36:00,2024-10-28 10:55:00,19.0,9.18,tren
Lebrija,Jerez de la Frontera,2024-10-28 10:56:00,2024-10-28 11:12:00,16.0,8.48,tren
Jerez de la Frontera,El Puerto de Santa María,2024-10-28 11:13:00,2024-10-28 11:23:00,10.0,7.09,tren
El Puerto de Santa María,Puerto Real,2024-10-28 11:24:00,2024-10-28 11:32:00,8.0,6.62,tren
Puerto Real,San Fernando,2024-10-28 11:33:00,2024-10-28 11:42:00,9.0,6.86,tren
San Fernando,Cádiz,2024-10-28 11:43:00,2024-10-28 11:50:00,7.0,6.39,tren
Cádiz,San Fernando,2024-10-28 20:45:00,2024-10-28 20:51:00,6.0,6.16,tren
San Fernando,El Puerto de Santa María,2024-10-28 20:52:00,2024-10-28 21:05:00,13.0,7.78,tren
El Puerto de Santa María,Jerez de la Frontera,2024-10-28 21:06:00,2024-10-28 21:14:00,8.0,6.62,tren
Jerez de la Frontera,Lebrija,2024-10-28 21:15:00,2024-10-28 21:31:00,16.0,8.48,tren
Lebrija,Utrera,2024-10-28 21:32:00,2024-10-28 21:55:00,23.0,10.11,tren
Utrera,Dos Hermanas,2024-10-28 21:56:00,2024-10-28 22:05:00,9.0,6.86,tren
Dos Hermanas,Sevilla,2024-10-28 22:06:00,2024-10-28 22:16:00,10.0,7.09,tren
Córdoba,Posadas,2024-10-28 06:40:00,2024-10-28 07:00:00,20.0,9.41,tren
Posadas,Palma del Río,2024-10-28 07:01:00,2024-10-28 07:15:00,14.0,8.02,tren
Palma del Río,Peñaflor,2024-10-28 07:16:00,2024-10-28 07:20:00,4.0,5.7,tren
Peñaflor,Lora del Río,2024-10-28 07:21:00,2024-10-28 07:35:00,14.0,8.02,tren
Lora del Río,Sevilla,2024-10-28 07:36:00,2024-10-28 08:15:00,39.0,13.82,tren
Sevilla,Dos Hermanas,2024-10-28 08:36:00,2024-10-28 08:45:00,9.0,6.86,tren
Dos Hermanas,Utrera,2024-10-28 08:46:00,2024-10-28 08:58:00,12.0,7.55,tren
